iter	MultiClassOneVsAll
0	0.6714077996
1	0.6509267456
2	0.6317045419
3	0.6135034065
4	0.5962250687
5	0.5798851087
6	0.5643749682
7	0.5496397801
8	0.5357083154
9	0.5222632522
10	0.5094919058
11	0.497413416
12	0.4857730468
13	0.474696539
14	0.4641814726
15	0.454086714
16	0.4443461773
17	0.4351757163
18	0.4264367604
19	0.4179164952
20	0.409822403
21	0.4020102988
22	0.3945293807
23	0.3873721366
24	0.3805259643
25	0.3739368464
26	0.367660495
27	0.3615673116
28	0.3557493912
29	0.3501085881
30	0.3446900403
31	0.3395903083
32	0.3345918375
33	0.3297921131
34	0.3252185387
35	0.3207367011
36	0.3164984213
37	0.3122854802
38	0.3083261726
39	0.3045094033
40	0.3007707537
41	0.2971656596
42	0.2938534597
43	0.2905392992
44	0.2873425923
45	0.2842152001
46	0.2812444043
47	0.2783886545
48	0.2756089047
49	0.2730072417
50	0.2704347343
51	0.2678904884
52	0.265460822
53	0.2631802901
54	0.2609159822
55	0.2587516427
56	0.2567100916
57	0.2547136866
58	0.2527325202
59	0.2507221669
60	0.248927426
61	0.2471069506
62	0.2454404802
63	0.2436801452
64	0.2420810753
65	0.2405103383
66	0.2389514933
67	0.2375223344
68	0.2361003923
69	0.2345884185
70	0.2332853061
71	0.2319758802
72	0.2307306968
73	0.2294967167
74	0.2282625445
75	0.2270046466
76	0.22584733
77	0.2247564228
78	0.2237385919
79	0.2227542354
80	0.2216992599
81	0.2207183481
82	0.2197865666
83	0.2188204354
84	0.2178309105
85	0.2169707196
86	0.2161657416
87	0.2153001177
88	0.2145622206
89	0.2137861948
90	0.2130528666
91	0.2123213802
92	0.2116128641
93	0.2109765656
94	0.2103332367
95	0.2097114477
96	0.209161533
97	0.2086292087
98	0.2079867064
99	0.2074430894
100	0.2068659997
101	0.206362461
102	0.2058426282
103	0.2054076764
104	0.2047745578
105	0.2042445061
106	0.2038090885
107	0.2032255355
108	0.2027874848
109	0.2023315973
110	0.2018524468
111	0.2014248819
112	0.2009764101
113	0.2006246479
114	0.2002681082
115	0.1998266668
116	0.1994213221
117	0.1990400496
118	0.1987350362
119	0.1984696259
120	0.1982164362
121	0.1978427243
122	0.1975045111
123	0.197199
124	0.196851239
125	0.1964952803
126	0.1961717667
127	0.1958078874
128	0.1955511399
129	0.1952534688
130	0.1950002903
131	0.1946514639
132	0.1943910984
133	0.1941297899
134	0.1938505201
135	0.1935857639
136	0.1932073388
137	0.1930097131
138	0.1927679043
139	0.1925336578
140	0.1923145511
141	0.1921313751
142	0.1919104626
143	0.1916437041
144	0.1913963322
145	0.191152733
146	0.1909018719
147	0.1907054274
148	0.1905395754
149	0.19032056
150	0.1901788213
151	0.1900342643
152	0.1899124734
153	0.1897450362
154	0.1895800623
155	0.1893931513
156	0.1891924002
157	0.1889749882
158	0.1888290581
159	0.1886061766
160	0.1884106748
161	0.1882396772
162	0.1880511769
163	0.1879151211
164	0.1877477617
165	0.1876421035
166	0.1874395595
167	0.1872583144
168	0.187093401
169	0.1869769507
170	0.1867711066
171	0.186601338
172	0.1864078171
173	0.1862789953
174	0.1861566413
175	0.1860104559
176	0.1858538568
177	0.185738658
178	0.1855749217
179	0.1854314138
180	0.185342398
181	0.1851835322
182	0.1850907814
183	0.1849562039
184	0.1848187418
185	0.1846601187
186	0.1845285169
187	0.1844416928
188	0.1843281965
189	0.1842261169
190	0.1840702358
191	0.1839389961
192	0.1838176636
193	0.1837005354
194	0.1835960981
195	0.1834690582
196	0.1833579521
197	0.1832188021
198	0.1831178601
199	0.1830082469
200	0.182945786
201	0.1828400812
202	0.182736122
203	0.1826613391
204	0.1825818883
205	0.1824642566
206	0.1823604217
207	0.1822586333
208	0.182140123
209	0.1820641802
210	0.1819787129
211	0.1818639456
212	0.1817480336
213	0.1816599523
214	0.1815790112
215	0.1814823083
216	0.1814107861
217	0.1813316964
218	0.1812445469
219	0.1811358445
220	0.1810717809
221	0.1809568669
222	0.1808893559
223	0.1808084143
224	0.1807080834
225	0.180600318
226	0.1805331305
227	0.1804559372
228	0.1803825763
229	0.1803357335
230	0.180243809
231	0.1801821958
232	0.1801192439
233	0.1800727734
234	0.1800065331
235	0.179950416
236	0.1798929105
237	0.1798457089
238	0.1797483704
239	0.1796731405
240	0.1795952646
241	0.179527707
242	0.179456826
243	0.1793779045
244	0.179325365
245	0.1792680222
246	0.1792223316
247	0.1791518636
248	0.1791005838
249	0.1790263194
250	0.1789637418
251	0.1789068486
252	0.1788113613
253	0.1787587053
254	0.1786840051
255	0.1786179514
256	0.178546317
257	0.17850365
258	0.1784150352
259	0.1783541326
260	0.1782645206
261	0.1781860207
262	0.1781178612
263	0.178074901
264	0.1780261027
265	0.1779787604
266	0.1779155046
267	0.1778548602
268	0.1778079854
269	0.1777561167
270	0.1777091879
271	0.1776399918
272	0.177599955
273	0.1775464807
274	0.1775086692
275	0.1774337625
276	0.1773836859
277	0.1773004591
278	0.1772586554
279	0.1772091921
280	0.1771739142
281	0.1771054932
282	0.1770420918
283	0.1769822541
284	0.1769405839
285	0.1768842962
286	0.1768247152
287	0.1767943218
288	0.1767568583
289	0.1767267754
290	0.1766916588
291	0.1766357772
292	0.1765914716
293	0.1765570126
294	0.1765064733
295	0.1764629541
296	0.176434263
297	0.1764059798
298	0.1763495593
299	0.1763189143
300	0.1762720534
301	0.176227559
302	0.1761969699
303	0.1761434548
304	0.1761056497
305	0.1760597357
306	0.1759842199
307	0.1759201172
308	0.175896012
309	0.1758724998
310	0.175821546
311	0.1757607291
312	0.1757364321
313	0.1757035403
314	0.1756502446
315	0.1756066477
316	0.175578169
317	0.1755367686
318	0.175491011
319	0.1754644682
320	0.1754305351
321	0.1753881216
322	0.175366767
323	0.1753314517
324	0.1752976156
325	0.1752487281
326	0.1752003673
327	0.1751345987
328	0.1750805633
329	0.1750423897
330	0.1749888135
331	0.1749541617
332	0.1749184948
333	0.1748945616
334	0.1748662303
335	0.1748431902
336	0.1748002232
337	0.1747603391
338	0.1747233409
339	0.1746953004
340	0.1746459464
341	0.1746119623
342	0.1745612252
343	0.1745359502
344	0.1745168172
345	0.1744867151
346	0.1744595614
347	0.1744217505
348	0.1743979602
349	0.1743570941
350	0.174308372
351	0.1742809735
352	0.1742557354
353	0.1742255937
354	0.1742035867
355	0.1741666054
356	0.1741426759
357	0.1741021782
358	0.1740639778
359	0.1740321646
360	0.1740004138
361	0.1739623573
362	0.1739365469
363	0.1738833861
364	0.1738549903
365	0.1737991364
366	0.1737418134
367	0.1737119179
368	0.1736750551
369	0.1736497117
370	0.1736163538
371	0.173590103
372	0.1735472015
373	0.1735227324
374	0.1734893283
375	0.1734375813
376	0.173385621
377	0.1733539632
378	0.1733260396
379	0.1732921226
380	0.1732686011
381	0.1732293608
382	0.173204476
383	0.1731859574
384	0.1731660144
385	0.1731400433
386	0.1731306966
387	0.1731029148
388	0.1730854338
389	0.173054538
390	0.1730361422
391	0.1729830306
392	0.1729478324
393	0.1729124245
394	0.1728579435
395	0.1728206175
396	0.1727991599
397	0.1727619595
398	0.1727379397
399	0.1727006968
400	0.172672466
401	0.1726488984
402	0.1726183422
403	0.1725847283
404	0.1725614375
405	0.1725402216
406	0.1725058296
407	0.1724774926
408	0.1724600742
409	0.1724361743
410	0.172409725
411	0.1723875043
412	0.1723622386
413	0.1723401486
414	0.1723152224
415	0.1722994904
416	0.1722600479
417	0.1722426163
418	0.1722264765
419	0.172193618
420	0.1721643367
421	0.1721480742
422	0.1721333155
423	0.1721212636
424	0.172098972
425	0.1720707895
426	0.1720283334
427	0.1719867418
428	0.1719589438
429	0.1719393857
430	0.17191691
431	0.1718882477
432	0.1718670172
433	0.1718454586
434	0.1718157599
435	0.1718004278
436	0.1717762824
437	0.1717518769
438	0.1717274594
439	0.1717006433
440	0.1716541488
441	0.1716427289
442	0.1716212839
443	0.1716004409
444	0.171585199
445	0.1715507167
446	0.1715362733
447	0.1715114275
448	0.171475483
449	0.1714446907
450	0.1714252109
451	0.1713972424
452	0.1713766613
453	0.1713550913
454	0.1713312065
455	0.1713108757
456	0.1712715913
457	0.1712377352
458	0.1712212814
459	0.1712040156
460	0.171190231
461	0.171161598
462	0.1711221625
463	0.171101945
464	0.1710897675
465	0.1710727117
466	0.1710543805
467	0.1710193694
468	0.1709954932
469	0.1709724377
470	0.1709669106
471	0.1709279569
472	0.1709001767
473	0.1708887748
474	0.1708497176
475	0.1708268038
476	0.1707960298
